0:Met[Zsun],1:Age[Gyr],2:Rp[Rsun],3:Vinf[km/s],4:Mass1_i[MSUN],5:Mass2_i[Msun],6:R1[Rsun],7:R2[Rsun],8:Label,9:Mass1_f[MSUN],10:Mass2_f[MSUN],11:Sigma
0.010,0.000020174,8.69692,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 62.497340, 62.483000,1
0.010,0.000020174,8.69692, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.798580, 63.793000,1
0.010,0.000020174,8.69692,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.118500,1
0.010,0.000020174,8.69692, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.747950, 63.729090,1
0.010,0.000020174,8.69692,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.450000,1
0.010,0.000020174,8.69692, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.457560, 63.475450,1
0.010,0.000020174,9.64432, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.933150, 63.925230,1
0.010,0.000020174,9.64432,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.902400,  0.000000,1
0.010,0.000020174,9.64432,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.795600,1
0.010,0.000020174,9.64432,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.543820, 63.528780,1
0.010,0.000020174,9.64432, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.900050, 63.894860,1
0.010,0.000020174,9.64432,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.958400,  0.000000,1
0.010,0.000020174,9.64432, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.902230, 63.902930,1
0.010,0.000020174,9.64432,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.707600,1
0.010,0.000020174,9.64432, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.805100, 63.795770,1
0.010,0.000036951,0.00000, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1, 60.025100,  0.000000,1
0.010,0.000036951,0.00000,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.846120,1
0.010,0.000036951,0.00000,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 60.856150,  0.000000,1
0.010,0.000036951,0.00000,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,0.00000, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 1, 56.168770,  0.000000,1
0.010,0.000036951,0.00000,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.813400,1
0.010,0.000036951,0.00000, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,0.00000,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1, 60.679020,  0.000000,1
0.010,0.000036951,0.00000, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,1.82696, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1, 60.594380,  0.000000,1
0.010,0.000036951,1.82696,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 61.786160,1
0.010,0.000036951,1.82696,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.813770,  0.000000,1
0.010,0.000036951,1.82696,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,1.82696, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 1, 53.142000,  0.000000,1
0.010,0.000036951,1.82696,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 61.734600,1
0.010,0.000036951,1.82696, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2,  4.019380,  4.133409,1
0.010,0.000036951,1.82696,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.520610,  0.000000,1
0.010,0.000036951,1.82696, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,10.43330, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000000, 32.000000,1
0.010,0.000036951,10.43330,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.080000,2
0.010,0.000036951,10.43330,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.786220,  0.000000,1
0.010,0.000036951,10.43330,16000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000000, 32.000000,1
0.010,0.000036951,10.43330, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000000, 32.000000,1
0.010,0.000036951,10.43330,  250,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.999680, 32.000320,1
0.010,0.000036951,10.43330, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000000, 32.000000,1
0.010,0.000036951,10.43330,  500,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000190, 31.999810,1
0.010,0.000036951,10.43330, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 32.000000, 32.000000,1
0.010,0.000036951,2.39690, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.575680,1
0.010,0.000036951,2.39690,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.850560,  0.000000,1
0.010,0.000036951,2.39690,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.852170,  0.000000,1
0.010,0.000036951,2.39690,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,2.39690, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 30.014380, 29.935120,1
0.010,0.000036951,2.39690,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.706810,  0.000000,1
0.010,0.000036951,2.39690, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 17.588620, 17.677630,1
0.010,0.000036951,2.39690,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 61.367180,1
0.010,0.000036951,2.39690, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,2.85191, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.566140,1
0.010,0.000036951,2.85191,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 61.685460,1
0.010,0.000036951,2.85191,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.676810,  0.000000,1
0.010,0.000036951,2.85191,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,2.85191, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 30.464350, 30.446750,1
0.010,0.000036951,2.85191,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 61.728390,1
0.010,0.000036951,2.85191, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 24.514560, 24.522810,1
0.010,0.000036951,2.85191,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.812510,  0.000000,1
0.010,0.000036951,2.85191, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,3.26513, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.979960,1
0.010,0.000036951,3.26513,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.365920,1
0.010,0.000036951,3.26513,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.381450,1
0.010,0.000036951,3.26513,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,3.26513, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 30.913300, 30.897140,1
0.010,0.000036951,3.26513,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.247920,  0.000000,1
0.010,0.000036951,3.26513, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 27.973470, 27.968990,1
0.010,0.000036951,3.26513,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1, 61.801040,  0.000000,1
0.010,0.000036951,3.26513, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 10.754030, 10.808550,1
0.010,0.000036951,3.66765, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 60.878170,1
0.010,0.000036951,3.66765,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.470380,1
0.010,0.000036951,3.66765,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.422010,1
0.010,0.000036951,3.66765,16000,32.000000,32.000000, 5.2166301, 5.2166301, 0,  0.000000,  0.000000,1
0.010,0.000036951,3.66765, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.244850, 31.227630,1
0.010,0.000036951,3.66765,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.468150,1
0.010,0.000036951,3.66765, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 29.701560, 29.700260,1
0.010,0.000036951,3.66765,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.340990,1
0.010,0.000036951,3.66765, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 21.393870, 21.570190,1
0.010,0.000036951,4.08168, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 59.411550,1
0.010,0.000036951,4.08168,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.712190,1
0.010,0.000036951,4.08168,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.735390,1
0.010,0.000036951,4.08168,16000,32.000000,32.000000, 5.2166301, 5.2166301, 2,  6.162762,  6.250811,1
0.010,0.000036951,4.08168, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.472920, 31.471870,1
0.010,0.000036951,4.08168,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.765690,  0.000000,1
0.010,0.000036951,4.08168, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 30.661410, 30.676710,1
0.010,0.000036951,4.08168,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.473240,1
0.010,0.000036951,4.08168, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 27.136550, 27.209000,1
0.010,0.000036951,4.53430, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.888130, 31.866120,1
0.010,0.000036951,4.53430,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.889500,  0.000000,1
0.010,0.000036951,4.53430,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.958940,  0.000000,1
0.010,0.000036951,4.53430,16000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 22.071670, 22.134670,1
0.010,0.000036951,4.53430, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.660820, 31.652150,1
0.010,0.000036951,4.53430,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.816240,  0.000000,1
0.010,0.000036951,4.53430, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.263510, 31.275330,1
0.010,0.000036951,4.53430,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.537940,1
0.010,0.000036951,4.53430, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 29.680720, 29.669230,1
0.010,0.000036951,5.07604, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.902510, 31.915280,1
0.010,0.000036951,5.07604,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1, 63.001550,  0.000000,1
0.010,0.000036951,5.07604,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1, 63.031890,  0.000000,1
0.010,0.000036951,5.07604,16000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 28.597130, 28.578880,1
